text;class
Я осталась недовольна работой сотрудников магазина М.видео в г.Северске Томской области, через который я заказывала экспресс-доставку моего интернет-заказа. Я сделала заказ телевизора и произвела полную оплату через сайт магазина М.видео, а таже оформила экспресс-доставку на следующий день в удобное для меня время. Но на следующий день мой товар не был доставлен ни в положенное время ни в течение дня вообще и никто не позвонил мне и не отправил смс, чтобы объяснить что случилось. Но на следующий день звонков не было опять и мне пришлось ехать в магазин и решать эту проблему. Это просто безобразное и наплевательское отношение к клиентам.;Доставка
Прождали целый день, товар не привезли. Только 15.01.2021 вечером позвонил представитель фирмы и сказал, что отпариватель на складе был один и ненадлежащего качества, поэтому его не привезли. Заказ был отменен.;Доставка
 О том, что товар с витрины, сайт сообщил только ПОСЛЕ оплаты;Товар
Необходимо более бережнее относиться к товару и проверять, что доставляете;Товар
Товар не готов выдаче, но числится в магазине. До сих пор стою в зоне выдачи, уже 15 минут прошло.;Доставка
Продавцы не подходят, а избегают, умеют только здороваться и красиво стоять кучкой. Пришлось ловить продавца, который шёл к паре с ключами от машины в руках, которая ни чего не купили😃, в отличие от меня. ;Магазин
Когда сами ставили на место оказалось что покрытие на холодильнике повреждено.;Товар
 Расстроил тот факт, что больше 30 минут прождал выдачу заказа.;Доставка
Почему то один из заказов Ваш магазин предложил забрать в магазине в другой части города.;Доставка
товар был взят с витрины, хотя меня об этом не предупреждали;Товар
На глянцевой поверхности чайника были явно видимые следы отпечатков пальцев и это бы всё ничего, но глянцевая поверхность боковины имела следы механических повреждений - хорошо заметную широкую царапину длиной около15 см;Товар
Заказ отменен без моего ведома.;Доставка
Огорчило фамильярное и даже хамское поведение охранника, который, желая видимо помочь, хотя его об этом никто не просил, без разрешения выхватил мобильный телефон из рук, чтобы отсканировать штрих код на терминале. На мое возмущение никак не отреагировал. ;Магазин
Я заказала доставку курьеров в течение 2 часов. Мне пришло письмо о том что заказ мне нужно забрать из пункта выдачи. ;Доставка
Неприятный хамский персонал и охранники;Магазин
Необходимо уточнять, что товар некомплектный: нет пульта, инструкции, коробки. ;Товар
Доставили не тот товар;Доставка
Долгое ожидание в зоне выдачи заказов. И так уже второй раз.;Доставка
Заказ везли почти месяц с вечными переносами;Доставка
"В магазине полный хаос, консультантов нет, полно клиентов_x000D_
";Магазин
Главное в заказе - ноутбук, но он был с витрины, что заранее уточнить мне не смогли. ;Товар
Витринный образец, да ещё и без коробки не может стоить столько же, как и нераспечатанный! 20 процентов скидка, как минимум, и не пришлось бы ехать на другой конец города!;Товар
Стоял возле кассы 5 минут. Продавец занималась своими делами. На выдаче то же самое.;Магазин
Несколько раз переносили мне доставку, не в указанный срок;Доставка
Сотрудники заняты своими делами и им плевать на покупателей.;Магазин
Коробка грязная, пыльная, потрёпанная. Утюг весь в пыли, заляпанный руками.;Товар
Микроволновку привезли с браком. При открытие двери отвалился блок управления.;Товар
Продавец подсунул в чек какую-то электронную подписку за 2000 рублей;Магазин
Я заказал бритву, в итоге ее не оказалось в наличии.;Доставка
 Сотрудники напевают песенки, кучей смотрели на заказ;Магазин
Ужасный сервис. Сотрудник хамло. Смеётся в лицо, вместо того, чтобы помочь. Коиентоориентированность на нуле. Кассир - Иванов Дмитрий Владимирович. Прошу разобраться.;Магазин
Если коротко. Вы просто меня развели на деньги, ввели в заблуждение. Впарили платно какую-то подписку КиноПоиск и защиту на экран. Это обман.  ;Магазин
 Хоть бы пакет давали;Товар
Телевизор не проверили;Товар
Маленькое количество персонала;Магазин
Звоню на следующий день и мне сообщают, что товара нет в наличии, хотя все оплачено. Как так, м-видео?;Доставка
Неужели при доставке 2 рюкзаков нельзя их было положить просто в пакет.;Товар
Очень плохая подготовка продавцов, отношение предвзятое. Девушка продавец сама не знала что говорит. Пыталась обязать к установке приложения и введению персональных данных для списания бонусов, якобы других вариантов нет, а я вобще с наличными пришла.   Я потратила час! на покупку товара, который уже выбрала заранее, меня не пришлось консультировать и тд....это время патрачено впустую только на некомпетентную работу продавца.  Ситуацию разрешила в итоге, я так поняла, старшая смены, но неприятный осадок остался. Следующую покупку я совершу уже в другом магазине, скорее всего другой сети.;Магазин
Маленький срок хранения заказа и продлить хранение можно только 1 раз на 1 день - это совершенно неудобно, особенно, когда заказ должен был прийти в один день, пришел на 4 дня раньше, а я уехала из города и по итогу пришлось возвращаться раньше срока и забирать заказ. ;Доставка
Доставка отказалась поднимать холодильник на 12 этаж, сославшись на то что он не пройдёт при подъеме на лифте и по лестнице. А моему соседу вчера доставили двухметровый холодильник на этаж выше И ВСЕ ПРОШЛО кто у вас доставляет товар, это ужасно остались без холодоса, спасибо мвидео;Доставка
некомплектный товар;Товар
 Холодильник на самом деле не чёрный а серый! Только дверцы чёрные.;Товар
Заказ курьер до квартиры не доставил. Пришлось выйти во двор. ;Доставка
На выдаче не проверили комплектность товара;Товар
 курьер позвонил получателю и сказал что сломалась машина. Предложил доставить заказ в три часа ночи либо 06.01.2021. В итоге 06 заказ так же был не доставлен. Звонок курьеру тоже ничего не дал. В личном кабинете в приложении отменен продавцом как не доставленный 06.01.2021 в 12:00.;Доставка
Заказал с доставкой до адреса, при доставке сказали проверять не будут. Я отказался от такой покупки.;Доставка
 Есть проблемы с персоналом, в магазине ни кассиров, ни консультантов не дождёшься. Приходится самим бегать по магазину и искать консультанта.;Магазин
на текущий момент приобрести что то аналогичное не получается т.к нет ничего в наличии, остался без сплит системы.;Товар
Продавцы не обращают внимание на клиентов;Магазин
Бракованный товар;Товар
Доставка не осуществлена. Курьер позвонил в 23:05 и спросил смогу ли я принять товар. Вся моя семья уже спала и звонок их разбудил. ;Доставка
Плохой сервис, некомплект, нет инструкции;Товар
Не выгодней ли всё проверять, чем гонять курьера с некачественным товаром?;Товар
Звоню вашему оператору, говорю, что вы испортили ребёнку праздник и товар надо поменять. Девушка на горячей линии предложила мне сгонять на Мичуринский проспект из Бутово. Так нельзя.  В итоге я предложила вашим операторам привезти кубик в тот же магазин, где я покупала его. Они до этого даже не додумались)! Я очень жду звонка руководства с объяснениями действий ваших сотрудников;Магазин
Пришлось просить курьера, чтобы поднял заказ на 4 этаж. Так быть не должно.;Доставка
"Не в первый раз прождал весь день доставку, с 9 до 22х. В 22 позвонили, сказали что привезут ещё через час. После 22х принять не получается - территория закрыта для грузовых машин. 14 часов беспрерывного сидения в ожидании доставки - это издевательство. И дело не в ажиотажном спросе, с предыдущим заказом была такая же ситуация, в спокойное время.   Составил обращение на перенос в службе поддержки, но в личном кабинете появился статус - ""Отменён"".   Какая ещё может быть оценка работы?";Доставка
Прокомментировать полноценно не могу, доставка не смогла занести товар из-за неработающего лифта.;Доставка
Оператор неправильно приняла заказ... Я просила 5д,а приняли как 2д...;Магазин
Отсутстаие связи с курьером, долгая доставка;Доставка
 Срок хранения первого закончился, а второй ещё не доставлен. Приходится совершать лишний променад в магазин.;Доставка
При оформлении заказа выбирал другой пункт выдачи, чтобы забрать заказ в тот же день. Почему-то был назначен другой пункт выдачи.;Доставка
Долго ждали очередь на выдаче интернет-заказов. Затем сотрудница другая позвала на другую кассу,чтобы разгрузить очередь. Но позвала с конца очереди! Я была с ребенком,стояла перед тем человеком которого позвали ( она вообще подошла неск минут назад);Магазин
"При покупке ВЕНТИЛЯТОРА в чек была добавлена услуга ""настройка мобильного устройства"". В итоге услуга была удалена, но по чеку и бонусам сделали так, что стоимость не поменялясь.";Магазин
 Менеджеры не реагировали даже на электронный талон. Только после личного вопроса началось движение.;Магазин
долгая доставка (3 недели);Доставка
Привезли некомплектное кресло: отсутствует газлифт, колеса и пружина в механизме качания!;Товар
М видео самовольно отменил заказ, в итоге товар теперь стоит дороже;Доставка
Либо выводите на линию большее число машин, либо уменьшайте стоимость доставки. ;Доставка
Сервис 5post самостоятельно перенёс доставку в другой пункт выдачи.;Доставка
Товар должны были доставить вчера. Просидели целый час в магазине, в ожидании. В итоге выяснилось, что заказ не передан курьеру, так как его нет в наличии. Когда оплачивали выдавало, что товар есть в наличии. ;Доставка
 Не мешало бы ее сначала проверить.;Товар
Курьер позвонил в 6:11 утра в выходной день. И сказал что через 30 минут привезёт пылесос. Хотя интервал доставки был с 9:00-16:00. Очень и очень профессионально..... добавить нечего;Доставка
получил электронный талон на выдачу, но специалист сказал взять бумажный. Зачем тогда в приложении выдача таких талонов? ;Магазин
Ошиблись с адресом доставки;Доставка
кассир ничего не мог объяснить, общался хамовато. Осталось негативное впечатление от покупки.;Магазин
Очень плохо, что при курьерской доставке не проверяется элементарная работоспособность техники. Я бы эту микроволновку изначально не приняла. Но курьер очень уверенно мне сказал, что у меня есть 2 недели на первичную проверку и если что-то не так - мне поменяют. ;Доставка
Охрана поражает иногда)), на выходе пропищал сигнал, я о смотрелась охрана стояла, выйдя, остановилась возле лавочки в 2м от входа. И через минуту охранник начинает мне жестикулировать и орать (я на минуточку сижу на лавке и занимаюсь своими делами). Не подошёл, не спросил, не извинился. Переступить линию магазина видимо не позволяло вероисповедание. Он орал и жестикулировал (находясь напротив меня)до тех пор пока я не подошла, протянув покупку и чек. А также пришлось объяснить, что это его работа бегать за покупателями, а не покупателям за ним. Сервис и отношение к покупателям удивляют! К товару и выдаче заказов вопросов нет.;Магазин
Покупкой довольна! Не довольна обслуживанием! Не удобно, что менеджеры не проверяют товар, а приходится самому это делать!!! Раньше было Намного лучше!!!;Товар
 Короткий срок хранения уже купленного товара (3 дня у вас против недели Ситилинка).  Берите пример с Ситилинка, МВидео, Ozon, Wildberries!;Доставка
Побольше вам в команду клиентоориентированных операторов и сервис будет лучше на 37%;Магазин
"агрессивная охрана не магазина а самого ТЦ ""Глобус""";Магазин
Сотрудники некомпетентны.В магазине сотрудники не владели условиями акции, также об условиях не было известно вплоть до дня начала акции, сотрудник магазина не пытался разрешить сложившуюся ситуацию с первого раза. Сплошной негатив от покупки.;Магазин
Заказал все онлайн, ждал 45 минут выдачи заказа - очень долго.;Доставка
В описании на сайте написано, что духовой шкаф с функцией свч. СВЧ нет!;Товар
Приехал забрать заказ специально после 19 часов, когда посетителей в магазине мало. Зато продавцов море, все деловые, чем-то занимаются))) ;Магазин
"Заказ был с доставкой, но даже в вашем письме об оценке почему-то пишется как ""самовывоз"". В итоге никто ничего не привез, пока не составил обращение. естественно с опозданием.";Доставка
 мало консультантов;Магазин
Заказ 1532287800 был мною оплачен. В день доставки я не смогла принять заказ и попросила перенести день доставки. Три раза за неделю звонила на горячую линию с просьбой перенести день доставки, мне 2 раза назначали новую дату доставки, но по факту товар не привезли и не перезвонили. Через неделю после моих обращений пришло СМС на телефон о том, что мой заказ отменен. Я не отказывалась от своего товара, от доставки я также не отказывалась, я попросила перенести день доставки. Уважаемый М.видео, в данном случае вы нарушаете права потребителя;Доставка
Очень долгая доставка. Жаль что воспользовался вашей услугой. Ведь альтернатива была. Но поверил вам. Теперь несколько раз подумаю, чтобы идти к вам.;Доставка
"Курьер не позвонил заблаговременно, как заявлено (за час), только когда непосредственно подъехал к дому, мы в этот момент были на работе. Пришлось ждать, когда развезет другие заказы и опять вернётся. _x000D_
";Доставка
Грубый, неуважительный персонал и охрана.;Магазин
при транспортировке был поврежден товар !;Товар
Выдали не тот товар пришлось ехать 20 километров обратно в магазин;Доставка
 Поменяйте партнёра на доставку!Товар я не смогла проверить, меня исторично заставляли подписать документы, где я якобы все проверила. Ужасно просто.;Доставка
Не понравилась доставка;Доставка
 Очень долго пришлось ждать оформления в магазине,  работало одно окно.Поднимись на второй этаж(эскалатор уже года три как сломан и его не чинят), тебе дадут фискал, потом спустись на — 1 этаж, там чек заберут, потом подъедь сзади здания. Очень все долго и неудобно.;Доставка
предупредили за час, через час доставки не было, телефон водителя экспедитора стал отключён, и перестало быть понятным, а привезут ли тогда товар сегодня вообще, привезли по итогу без предупреждения через 2 часа за 5 минут до окончания окна времени доставки, странно брать деньги за услугу при таком низком качестве сервиса.;Доставка
 Адрес магазина указан неверно, в т.ч. на карте в приложении показывает не туда! В частный сектор. Реально магазин находится в другой части г. Первоуральск. ;Доставка
Вынесли коробку. Попросил открыть и проверить целостность. Мне в этом отказали, сообщив, что если хочу сам посмотрю. Обратится к менеджеру (представилась старшей в магазине), которая сообщила, что они не проверяют и вообще данный товар не является техникой и в проверка не предусматривается. ;Товар
В закрытой коробке была пыль и грязь на товаре. ;Товар
Откравили в другой магазин, хотя заказ был в этот;Доставка
Я просил привезти в другой пункт выдачи!;Доставка
Описание абсолютно другой модели пылесоса, не Roidmi f8 lite, а roidme f8. На деле нет никакой подсветки, нет щелевой насадки и нет Блютус. А цена, как за roidmi f8;Товар
Кассир ну очень занятой оказался - послал искать сотрудника в зал для выдачи заказа. ;Магазин
"Покупка на сайте была произведена 04.03.2022 года быстро по 100% предоплате. Была оплачена и доставка курьером, дата которой была назначена 05.03.2022 года.  В личном кабинете статус заказа изменился на ""отменен""! ";Доставка
Отвратительный сервис ! Перенесли дату доставки, не согласовав.  Это совок !   ;Доставка
Внутренний блок кондиционера пришел в ОЧЕНЬ мятой коробке. ;Товар
Неужели, за полторы недели, пока заказ обрабатывался и собирался заказ,не могли сообщить о том,что необходимого товара нет в наличии. ;Доставка
сотрудников доставки, отказались проверять товар.;Доставка
Пришлось ждать 35 минут на холоде пока отгрузят купленный товар, продавцы просто забыли про меня.;Магазин
Заказывали холодильник. Не дали проверить ни работу, ни целостность после перевозки. Такое отношение к покупателям неприемлемо! Отказ!;Доставка
Товар оказался бракованным;Товар
Доставка сплошной идиотизм! Где проверить комплектность покупки? Бардак полный!;Доставка
Охранник не хотел пускать, т.к. осталось 7 мин. до закрытия магазина, после долгих уговоров, до закрытия уже осталась 1 мин.;Магазин
неи доставлен полностью. Частичное выполнение не требуется;Доставка
Один из двух телефонов бракованный (не заряжается). Мама осталась без подарка на НГ!;Товар
с доставкой просто беда;Доставка
Коробка вся пыльная и мятая;Товар
Хамоватый охранник.;Магазин
"Сотрудник дал не верную информацию по Apple TV+_x000D_
Хочу разобраться в данной ситуации.";Магазин
Платная доставка ,которая должна соответствовать тому, что ты за неё платишь .;Доставка
Ужасная доставка.;Доставка
ужасно !!! если учесть что пол дня потратил ожидая курьера , который так и не пришел !!! Требую моральную и материальную компенсацию !!!;Доставка
Негативное впечатление создалось сразу, при входе, стоит крайне недоброжелательный охранник, который разговаривает на повышенных тонах. ;Магазин
Привезли поврежденный товар;Товар
часть заказа не был доставлен;Доставка
"Доставка организована отвратительно.  Почему мы должны подстраиваться?! Позвонили в 14.30, что будут через час, даже раньше. Сорвалась с работы, приехала, 15.20 - будем через 10 мин. 15.45 приехали. _x000D_
Пробки не оправдание, сама ехала на авто. Банальное не умение рассчитывать время. Это просто неуважение.";Доставка
Продавцы игнорировали вызов к зоне выдаче (примерно 20 минут моего ожидания), хотя на кассах было два кассира и очень мало покупателей;Магазин
Курьер отказался доставлять до квартиры на 5 этаж, аргументируя тем, что не работает домофон, хотя домофон работает. Пришлось самим спускаться и забирать доставку.;Доставка
 доставщик! Очень торопился уехать. Не дал время на проверку!;Доставка
Оставляли комментарий к доставке с просьбой доставить товар с 10 до 12 часов за несколько дней до доставки Заказ доставили только в 15:25!;Доставка
Вчера заказал смартфон и оплатил через интернет. Выбрал экспресс доставку. В итоге заказ не привезли, в службе поддержки не смогли дозвониться до магазина и узнать в чем проблема. Приехал в магазин и забрал его. ;Доставка
По итогу меня не уведомили никак что доставка переносится на следущий день , я не получил товар во время. На будущие уведомляйте своих клиентов если доставка переносится или ещё что-то. ;Доставка
Не сообщили таксисту подъезд и квартиру;Доставка
Заказ был оформлен в другой магазин как доставка,а когда пришло сообщение о том что он доставлен, то там не было указано что забирать его оказывается нужно в другом магазине на другом конце города, куда я не оформляла заказ. Бардак полнейший.;Доставка
Отвратительное обслуживание в магазине. Долгое ожидание. Товар к выдаче был не готов.;Доставка
Из-за ошибок в логистической службе магазина оплаченный заказ не был доставлен получателю, а позже и вовсе был кем-то отменён без моего ведома.;Доставка
срок хранения и продления оплаченного заказа очень короткий;Доставка
 В этот день мне позвонил курьер и попросил перенести доставку заказа на выходной день, сославшись на плохие погодные условия и невозможность доставить заказ вовремя. Я согласилась так как погода действительно плохая, пробки, снег, гололед и т.д. Курьер попросил изменить срок доставки в личном кабинете. Я зашла в личный кабинет, но возможности изменить срок доставки не было. Сегодня 28 января в личном кабинете в статусе заказа значится, что он отменен. ;Доставка
При выборе своего города почему-то нашелся товар из соседнего города, откуда была только платная доставка до моего города, а это +600 рублей к заказу, очень неудобно и дорого;Доставка
Товаром доволен, но не доволен состоянием (грязь, пыль);Товар
 Приехала, продавцы даже не здоровались, назвали цену выше интернет, и нагрубили «где такую видели, там и покупайте».;Магазин
Получил некомплектный товар не было насадки для щётки.;Товар
После оплаты выяснилось что это витринный образец. На сайте написано, что на витринный образец можно получить скидку 5%. Но мне её получить не удалось, так как товар был уже оплачен. ;Товар
Разочарованы ненадежными обещаниями о доставке за два часа после заказа.  Вопрос, зачем тогда давать людям ненадёжные способы доставки, ожидая их целый день, в итоге ехать в магазин самой и забирать товар;Доставка
Курьер привёз заказ почти на 2 часа позже временных рамок;Доставка
Все было бы хорошо, если бы не приходилось все время подолгу ждать выдачи. ;Доставка
Проверка товара магазином;Товар
Вы издеваетесь?   Заказал 27.12, оплатил заказ онлайн, доставка должна была быть на 11.01.  Заказ не привезли. Техподдержка создала инцидент, но уже сутки с мной никто не связывается.  Потом пришел email - мол заказ доставлен оцените качество услуг.   А в личном кабинете статус заказа изменился на - Отменен. Деньги естественно мне не вернулись на карту, заказа нет, никто не связывается со мной.;Доставка
После получасовых поисков выяснилось что товара нет в наличии, хотя покупка была уже оплачена. ;Доставка
 Однако продавца пришлось ожидать и ловить.;Магазин
доставка ужасссс;Доставка
 девушка с перекошеным лицом сказав что заказ ещё не готов к выдаче,зачем тогда приходят уведомления о готовности непонятно,пришлось стоять и ждать ещё 30минут,на полке брать нельзя т.к. должно придти со склада,а на складе видимо уснули.....,вот только до сих пор не пойму,зачем тогда пришло уведомление о том что товар готов к выдаче?;Доставка
Заказ был доставлен не по указанному первоначально адресу ! Перенести заказ в другой пункт выдачи было невозможно . Пришлось ехать в неудобный по местоположению магазин. ;Доставка
Мультипекарь заказывался в подарок. После оплаты, мне принесли пыльную и грязную коробку, с рваными отходящими углами.  Просить вытереть пыль с коробки пришлось несколько раз. ;Товар
Просто наплевательское отношение к клиенту. Заказ должен был быть доставлен  31декабря,прислали смс, что дату перенесли на 3 января, а 3 января просто поменяли дату в личном кабинете на 13 января. ;Доставка
курьер даже не поднялся на мой этаж, попросил спуститься. Больше не буду у вас покупать;Доставка
"Долгое ожидание! _x000D_
";Доставка
почему на месте не проверяете работу холодильника при доставке товара;Доставка
 в магазине по факту оказался последний с витрины, хотя бы как то компенсировали;Товар
"Очень долгая доставка. _x000D_
Ориентировали на одну дату, в итоге пришла через несколько дней.";Доставка
Не переносите доставку;Доставка
 Я так поняла, что оператору важно, сколько заказов она делает за смену, почему бы не помочь. Но вот пачку бумаги для принтера формата А4 не стала перепроверять - думала, в этом ошибиться сложно. Итог - возврат. Мне не нужна фотобумага. Такое впервые, хотя покупаю всю технику и другие товары, и много, именно в МВидео.;Магазин
Задержали на две недели. Постоянно переносили. ;Доставка
Заказал последний экземпляр товара. Приехал за ним в магазин, а его нет в наличии;Доставка
К сожалению, Заказ сделан в марте, а доставили в мае. Несколько раз переносили дату доставки без объяснения причин. Ранее, никогда таких срывов сроков не было. Но, несмотря на это, буду обращаться к вам и впредь.;Доставка
" На просьбу открыть доп кассу, хамство ""не видите я занята."" ";Магазин
Курьер не донес до квартиры. Оставил у лифта. Жене пришлось искать соседей ко поможет занести в квартиру;Доставка
Вместо доставки в указанный пункт выдачи, товар был доставлен в отделение Почты России по другому адресу, где неудобный график работы;Доставка
Ужасный персонал ,на рабочих местах никого нет;Магазин
При оформлении доставка с 10 до 22. По факту при звонке водителю последний сообщил , что в 12:00 олько едет на склад. Первые часы ожидания потрачены впустую Отзвонился не за час до приезда;Доставка
Товар не упаковали в пакет.;Товар
Товар не хотели показывать до оплаты , потом не хотели доставать из упаковки , всё это как то напрягало кассира (я просто хотел убедиться в том что товар запечатан). А уж про включение можно было даже и не пытаться , кассир убеждал что это гигиенически недопустимо .;Товар
"УЖАСНО ДОЛГАЯ ДОСТАВКА !!!_x000D_
ЛОГИСТИКА ОЧЕНЬ ПЛОХАЯ!!!_x000D_
НАВЕДИТЕ ПОРЯДОК!!!_x000D_
НИ КОМУ НЕ СОВЕТУЮ!!!";Доставка
неквалифицированная доставка в части подъема на этаж;Доставка
" Я спросила,можно ли проверить товар, на это он ответил:""У Вас есть на это две недели"". Я ответила ему, чтоПриобретаюТоварНа подарок и хотелаБы проверитьЕгоСейчас. Тогда он махнул рукой в сторону и сказал: ""Вон там есть стол для самостоятельной проверки"". Зайдя в помещение, куда мне указ., я увидела стол, на нем не было даже розетки. Я вернулась обратно, снова обратилась к продавцу,думая,что,может быть,я не туда зашла,но он не поворачиваясь в мою сторону ответил: Там. Я снова пошла в то помещение, туда вошел еще какой-то раб.магазина. Я спросила его, где стол самост.проверки товара. Этот человек указал мне на стол. Я ему сказала, что здесь нет розетки. Тогда он вытянул мне удлинитель.";Товар
Единственный интернет магазин техники, где консультанты не проверяют и не пакуют заказы. Все на самообслуживании! Когда брала первый раз ,была шокирована! Если честно, второй раз бы не пришла, если бы данную модель сушки можно было купить в другом месте.;Товар
Вы прописали не тот адрес и не полностью. Если бы я не зашел по ссылке из яндекс.го, то заказ бы уехал не по тому адресу. ;Доставка
В магазине самообслуживание, никакой помощи от продавцов.;Магазин
Считаю, что на товар такой стоимости (42 тысячи) должна быть бесплатная доставка. ;Доставка
